directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
5381,4607736,1,2,1,BOGOTA,4,2,0,42,2,1,5,11,1,34,144,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,954775,176.882379344823,11,176.882379344823,177,6,1,1,1,1,0,1,0,48,1,0,0,0,5,1764,13.7692309896101,1,42,2304,110592
8451,4660896,1,1,1,BOGOTA,7,3,1,60,1,1,3,5,1,58,48,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1068333.33333333,0,0,0,0,0,0,1068333.33333333,1068333.33333333,225.634762637781,11,225.634762637781,226,4,0,1,1,1,0,1,0,48,1,0,0,0,5,3600,13.8816103596688,0,0,2304,110592
12442,4729072,1,8,1,BOGOTA,9,3,0,51,5,1,4,6,1,53,2,1,50,4,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,869453,0,0,0,0,0,0,869453,869453,186.928198322466,11,186.928198322466,187,5,0,1,1,1,0,1,0,50,1,0,0,0,3,2601,13.6756195572614,1,51,2500,125000
468,4521361,1,1,1,BOGOTA,1,3,1,37,1,1,3,5,1,77,0,1,56,3,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1500000,0,0,0,0,0,0,1500000,1500000,205.425424579072,11,205.425424579072,205,4,0,2,1,1,0,1,0,56,0,1,0,1,2,1369,14.2209756660724,0,0,3136,175616
8856,4665661,1,2,1,BOGOTA,7,5,0,55,2,1,6,3,4,45,18,4,14,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,5e+05,0,0,0,0,0,0,5e+05,5e+05,190.140618481813,11,190.140618481813,190,7,0,2,1,1,0,1,0,14,0,1,1,1,1,3025,13.1223633774043,1,55,196,2744
13116,4737988,1,1,1,BOGOTA,10,1,1,28,1,1,4,9,1,98,48,4,72,1,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1200000,0,0,0,0,0,0,1200000,1200000,240.153779082192,11,240.153779082192,240,5,0,2,1,1,0,1,0,72,0,1,1,1,1,784,13.9978321147582,0,0,5184,373248
2070,4551471,1,2,1,BOGOTA,2,3,0,23,9,1,5,11,1,38,6,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,869453,0,0,0,0,0,0,869453,869453,190.998594412969,11,190.998594412969,191,6,1,1,1,1,0,1,0,48,1,0,0,0,5,529,13.6756195572614,1,23,2304,110592
1961,4551404,1,6,1,BOGOTA,2,3,1,28,4,1,5,11,1,39,96,1,48,6,1,2,0,2,2,0,0,0,1,0,0,0,0,80000,0,1,983877.666666667,0,0,0,0,0,0,983877.666666667,983877.666666667,257.321406818545,11,257.321406818545,257,6,1,1,1,1,0,1,0,48,1,0,0,0,4,784,13.7992568458125,0,0,2304,110592
14819,4772527,1,1,1,BOGOTA,11,3,1,57,1,1,5,11,1,80,396,1,48,5,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1496544.33333333,0,0,0,0,0,0,1496544.33333333,1496544.33333333,243.618769065895,11,243.618769065895,244,6,1,1,1,1,0,1,0,48,1,0,0,0,4,3249,14.2186692305159,0,0,2304,110592
15508,4782423,1,1,1,BOGOTA,12,2,1,57,1,1,5,10,1,58,17,1,48,4,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1056544.33333333,0,0,0,0,0,0,1056544.33333333,1056544.33333333,277.155131104347,11,277.155131104347,277,6,1,1,1,1,0,1,0,48,1,0,0,0,3,3249,13.8705140776125,0,0,2304,110592
6198,4620922,1,1,1,BOGOTA,5,3,0,26,1,1,6,2,1,39,60,1,40,9,1,2,0,2,1,0,0,150000,1,0,0,0,0,0,0,1,1201544.33333333,0,0,0,150000,0,0,1351544.33333333,1351544.33333333,224.101769147436,11,224.101769147436,224,7,0,1,1,1,0,1,0,40,1,0,0,0,5,676,14.116758447219,1,26,1600,64000
255,4514542,1,3,1,BOGOTA,1,4,1,27,3,1,6,8,6,2,6,4,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,4600000,0,0,0,0,0,0,4600000,4600000,227.146289533848,11,227.146289533848,227,7,0,1,1,1,0,1,0,48,1,0,1,0,5,729,15.3415668614593,0,0,2304,110592
14221,4760938,1,1,1,BOGOTA,11,2,1,29,1,1,6,4,1,98,12,1,60,3,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1088211,0,0,0,0,0,0,1088211,1088211,282.230204558111,11,282.230204558111,282,7,0,2,1,1,0,1,0,60,0,1,0,1,2,841,13.9000456214188,0,0,3600,216000
8353,4660844,1,3,1,BOGOTA,7,2,0,26,3,1,5,11,1,3,48,1,48,9,1,2,0,2,2,0,0,0,1,1e+06,0,0,0,0,0,1,1194291.66666667,0,0,0,83333.3333333333,0,0,1277625,1277625,234.531379709931,11,234.531379709931,235,6,1,1,1,1,0,1,0,48,1,0,0,0,5,676,14.0605134436314,1,26,2304,110592
11446,4709964,1,2,1,BOGOTA,9,3,0,23,3,1,6,2,1,3,3,1,48,3,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,9e+05,0,0,0,0,0,0,9e+05,9e+05,153.935840150023,11,153.935840150023,154,7,0,1,1,1,0,1,0,48,1,0,0,1,2,529,13.7101500423064,1,23,2304,110592
