directorio,secuencia_p,orden,clase,dominio,mes,estrato1,sex,age,p6050,p6090,p6210,p6210s1,p6240,oficio,p6426,relab,hoursWorkUsual,p6870,p6920,p7040,p7070,p7090,p7495,p7500s1a1,p7500s2a1,p7500s3a1,p7505,p7510s1a1,p7510s2a1,p7510s3a1,p7510s5a1,p7510s6a1,p7510s7a1,pet,impa,isa,iof1,iof2,iof3h,iof3i,iof6,ingtotob,ingtot,fex_c,depto,fex_dpto,fweight,maxEducLevel,college,cotPension,wap,ocu,dsi,pea,inac,totalHoursWorked,formal,informal,cuentaPropia,microEmpresa,sizeFirm,age2,logIng,female,agefem,totalHoursWorked2,totalHoursWorked3
44,4514374,1,2,1,BOGOTA,1,2,1,35,3,1,3,5,1,98,38,1,56,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1513140,0,0,0,0,0,0,1513140,1513140,250.166944786892,11,250.166944786892,250,4,0,1,1,1,0,1,0,56,1,0,0,0,5,1225,14.2296975198843,0,0,3136,175616
45,4514374,1,1,1,BOGOTA,1,2,0,56,1,1,5,11,1,55,142,1,48,9,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,1,882333.416666667,0,0,0,0,0,0,882333.416666667,882333.416666667,250.166944786892,11,250.166944786892,250,6,1,1,1,1,0,1,0,48,1,0,0,0,5,3136,13.6903252869877,1,56,2304,110592
46,4514375,1,1,1,BOGOTA,1,2,0,53,1,1,5,11,1,45,112,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1275000,0,0,0,0,0,0,1275000,1275000,201.182391770539,11,201.182391770539,201,6,1,1,1,1,0,1,0,48,1,0,0,0,5,2809,14.0584567365747,1,53,2304,110592
47,4514375,1,2,1,BOGOTA,1,2,0,23,3,1,6,4,1,39,8,1,48,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1625000,0,0,0,0,0,0,1625000,1625000,201.182391770539,11,201.182391770539,201,7,0,1,1,1,0,1,0,48,1,0,0,0,5,529,14.301018373746,1,23,2304,110592
48,4514376,1,1,1,BOGOTA,1,2,1,41,1,1,5,11,1,55,2,1,49,4,1,2,0,2,2,0,0,0,1,0,0,0,0,0,2e+06,1,820857,0,0,0,0,0,0,820857,820857,242.904658561048,11,242.904658561048,243,6,1,1,1,1,0,1,0,49,1,0,0,0,3,1681,13.6181041954319,0,0,2401,117649
50,4514378,1,1,1,BOGOTA,1,2,1,62,1,1,3,5,1,39,1,1,84,3,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1550000,0,0,0,0,0,0,1550000,1550000,234.119759331995,11,234.119759331995,234,4,0,2,1,1,0,1,0,84,0,1,0,1,2,3844,14.2537654888954,0,0,7056,592704
52,4514380,1,2,1,BOGOTA,1,3,0,43,2,1,6,7,6,13,144,2,30,9,1,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3150000,0,0,0,0,0,0,3150000,3150000,218.961154283874,11,218.961154283874,219,7,0,1,1,1,0,1,0,30,1,0,0,0,5,1849,14.9629130108018,1,43,900,27000
54,4514381,1,1,1,BOGOTA,1,2,0,73,1,1,3,5,1,54,96,3,40,1,1,2,0,2,1,4e+05,0,0,1,1200000,0,0,0,0,0,1,737717,0,0,0,1e+05,0,4e+05,1587717,1587717,254.386811904384,11,254.386811904384,254,4,0,1,1,1,0,1,0,40,1,0,0,1,1,5329,14.2778076933207,1,73,1600,64000
55,4514382,1,2,1,BOGOTA,1,2,1,51,3,1,4,7,1,93,60,1,48,3,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,1,1e+06,0,0,0,0,0,0,1e+06,1e+06,258.629844712917,11,258.629844712917,259,5,0,2,1,1,0,1,0,48,0,1,0,1,2,2601,13.8155105579643,0,0,2304,110592
58,4514384,1,3,1,BOGOTA,1,3,0,56,3,1,5,11,4,54,6,4,8,1,2,2,0,2,1,6e+05,0,0,2,0,0,0,0,0,0,1,180000,0,0,0,0,0,6e+05,780000,780000,207.886713774121,11,207.886713774121,208,6,1,2,1,1,0,1,0,8,0,1,1,1,1,3136,13.5670491986658,1,56,64,512
