ingtot,sex,age,logIng,female,fitValues,age2,numfem,agefem,oficio
897717,0,60,13.7076101528496,1,13.8202984369853,3600,1,60,54
120000,1,27,11.6952470217642,0,14.0231906565723,729,0,0,3
2018667,0,43,14.5179479505568,1,13.8202984369853,1849,1,43,13
780000,0,62,13.5670491986658,1,13.8202984369853,3844,1,62,92
3200000,1,47,14.97866136777,0,14.0231906565723,2209,0,0,98
1550000,0,44,14.2537654888954,1,13.8202984369853,1936,1,44,37
2350000,0,40,14.6699258861203,1,13.8202984369853,1600,1,40,6
816666.666666667,0,42,13.6129862938528,1,13.8202984369853,1764,1,42,57
8e+05,1,23,13.5923670066501,0,14.0231906565723,529,0,0,37
3201666.66666667,1,38,14.9791820655167,0,14.0231906565723,1444,0,0,58
766883.666666667,1,22,13.5500903956603,0,14.0231906565723,484,0,0,38
737717,0,21,13.5113155612049,1,13.8202984369853,441,1,21,6
766883.666666667,1,47,13.5500903956603,0,14.0231906565723,2209,0,0,85
798967,0,50,13.5910749222684,1,13.8202984369853,2500,1,50,55
1541473.33333333,1,35,14.2482492269912,0,14.0231906565723,1225,0,0,3
889217,0,37,13.698096579198,1,13.8202984369853,1369,1,37,54
1058300,0,24,13.8721744050818,1,13.8202984369853,576,1,24,21
720000,0,47,13.4870064909922,1,13.8202984369853,2209,1,47,54
2300000,1,43,14.6484196808994,0,14.0231906565723,1849,0,0,98
1700000,1,19,14.3461388090264,0,14.0231906565723,361,0,0,84
530000,0,46,13.1806322855283,1,13.8202984369853,2116,1,46,54
838333,0,57,13.6391706752335,1,13.8202984369853,3249,1,57,55
6e+05,1,24,13.3046849341983,0,14.0231906565723,576,0,0,58
8e+05,1,24,13.5923670066501,0,14.0231906565723,576,0,0,58
737717,0,20,13.5113155612049,1,13.8202984369853,400,1,20,33
5050000,0,42,15.4348988012515,1,13.8202984369853,1764,1,42,13
1620000,0,57,14.2979367072086,1,13.8202984369853,3249,1,57,57
737717,1,42,13.5113155612049,0,14.0231906565723,1764,0,0,93
1274806.66666667,1,25,14.0583050910901,0,14.0231906565723,625,0,0,37
2333333.33333333,0,58,14.6628084183515,1,13.8202984369853,3364,1,58,13
2600000,1,46,14.7710220029917,0,14.0231906565723,2116,0,0,39
5e+05,1,54,13.1223633774043,0,14.0231906565723,2916,0,0,85
950000,1,25,13.7642172635767,0,14.0231906565723,625,0,0,45
